"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.375730190E-1,-5.725950241E0,5.655000210E0,-4.537050247E0
7.401069050E-1,-5.520000458E0,5.674950123E0,-4.738950253E0
7.426404450E-1,-5.263950348E0,5.587950230E0,-5.035950184E0
7.451740600E-1,-4.978950024E0,5.605050087E0,-5.437950134E0
7.477078280E-1,-4.777950287E0,5.581050396E0,-5.742000103E0
7.502414880E-1,-4.591050148E0,5.574000359E0,-5.935950279E0
7.527752550E-1,-4.519050121E0,5.622000217E0,-5.902950287E0
7.553088730E-1,-4.464000225E0,5.674950123E0,-5.803950310E0
7.578426400E-1,-4.414050102E0,5.706000328E0,-5.779950142E0
7.603761610E-1,-4.450050354E0,5.778000355E0,-5.680050373E0
7.629097750E-1,-4.584000111E0,5.983050346E0,-5.481000423E0
7.654435440E-1,-4.665000439E0,6.091050148E0,-5.173950195E0
7.679771610E-1,-4.677000046E0,6.292050362E0,-4.858050346E0
7.705109530E-1,-4.632000446E0,6.520050526E0,-4.339050293E0
7.730445700E-1,-4.432950020E0,6.727950096E0,-3.850050211E0
7.755783370E-1,-4.234050274E0,7.018050194E0,-3.769050121E0
7.781119550E-1,-3.801000118E0,7.144950390E0,-3.736950159E0
7.806456780E-1,-3.135000229E0,7.440000534E0,-3.666000128E0
7.831792950E-1,-3.100950241E0,7.630950451E0,-3.796950102E0
7.857128340E-1,-3.157050133E0,7.473000526E0,-4.081950188E0
7.882466010E-1,-3.199950218E0,7.240950108E0,-4.366950035E0
7.907804520E-1,-3.351000071E0,6.934050560E0,-4.609050274E0
7.933139930E-1,-3.475050211E0,6.655950546E0,-4.918050289E0
7.958476080E-1,-3.703050137E0,6.265950203E0,-5.424000263E0
7.983813750E-1,-3.894000292E0,5.703000069E0,-6.039000511E0
8.009149780E-1,-4.479000092E0,5.053950310E0,-6.817050457E0
8.034487450E-1,-5.536950111E0,4.459950447E0,-7.135950565E0
8.059823620E-1,-6.718050480E0,4.180050373E0,-7.030950546E0
8.085161290E-1,-7.824000359E0,3.907050133E0,-7.147950172E0
8.110496840E-1,-8.311050415E0,3.567000151E0,-6.849000454E0
8.135832970E-1,-8.171999931E0,3.286950111E0,-6.475050449E0
8.161170670E-1,-7.234950542E0,3.658050060E0,-6.537000179E0
8.186506840E-1,-6.214950085E0,4.256999969E0,-7.074000359E0
8.211844370E-1,-5.407950401E0,4.663950443E0,-7.330050468E0
8.237180550E-1,-4.534049988E0,5.598000050E0,-7.102050304E0
8.262518220E-1,-4.117050171E0,6.538950443E0,-6.724050522E0
8.287854390E-1,-3.646950245E0,6.678000450E0,-6.705000401E0
