"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.685603330E-1,1.834249943E-1,-2.432374954E-1,-1.218250021E-1
7.710941000E-1,1.854874939E-1,-2.441999912E-1,-1.218250021E-1
7.736277170E-1,1.897500008E-1,-2.484624982E-1,-1.238875017E-1
7.761614840E-1,1.929125041E-1,-2.475000024E-1,-1.238875017E-1
7.786950250E-1,1.929125041E-1,-2.527250051E-1,-1.238875017E-1
7.812286380E-1,1.887875050E-1,-2.591874897E-1,-1.259499937E-1
7.837624070E-1,1.876875013E-1,-2.612499893E-1,-1.259499937E-1
7.862962540E-1,1.876875013E-1,-2.623499930E-1,-1.249874979E-1
7.888297940E-1,1.876875013E-1,-2.623499930E-1,-1.238875017E-1
7.913634100E-1,1.834249943E-1,-2.612499893E-1,-1.249874979E-1
7.938971770E-1,1.823250055E-1,-2.591874897E-1,-1.270499974E-1
7.964307940E-1,1.737999916E-1,-2.538250089E-1,-1.302125007E-1
7.989645420E-1,1.632124931E-1,-2.441999912E-1,-1.366750002E-1
8.014981600E-1,1.515250057E-1,-2.336124927E-1,-1.463000029E-1
8.040319270E-1,1.419000030E-1,-2.197249979E-1,-1.546874940E-1
8.065655440E-1,1.302125007E-1,-2.091374993E-1,-1.643124968E-1
8.090993310E-1,1.216875017E-1,-1.974499971E-1,-1.759999990E-1
8.116329480E-1,1.142624989E-1,-1.889249980E-1,-1.876875013E-1
8.141664860E-1,9.927500039E-2,-1.815000027E-1,-1.995124966E-1
8.167003310E-1,8.016250283E-2,-1.698125005E-1,-2.079000026E-1
8.192340950E-1,6.104999781E-2,-1.548250020E-1,-2.164250016E-1
8.217676350E-1,4.716249928E-2,-1.346125007E-1,-2.271499932E-1
8.243012510E-1,3.753750026E-2,-1.175625026E-1,-2.377374917E-1
8.268350180E-1,2.804999985E-2,-1.049124971E-1,-2.494249940E-1
8.293686400E-1,1.952499896E-2,-9.308750182E-2,-2.568500042E-1
8.319024080E-1,1.099999994E-2,-8.882500231E-2,-2.611125112E-1
8.344360250E-1,6.737499963E-3,-8.470000327E-2,-2.633124888E-1
8.369697920E-1,7.837500423E-3,-8.566249907E-2,-2.579500079E-1
8.395034240E-1,3.574999981E-3,-8.786249906E-2,-2.462625057E-1
8.420371910E-1,4.124999978E-4,-7.713750005E-2,-2.356749922E-1
8.445707310E-1,-2.887499984E-3,-6.435000151E-2,-2.260500044E-1
8.471045750E-1,-6.049999967E-3,-6.764999777E-2,-2.154625058E-1
8.496381890E-1,-7.149999961E-3,-7.191249728E-2,-2.015749961E-1
8.521719560E-1,-1.237499993E-2,-7.081250101E-2,-1.909874976E-1
8.547054970E-1,-1.141249947E-2,-7.397499681E-2,-1.791625023E-1
8.572391100E-1,-1.553750038E-2,-7.081250101E-2,-1.696749926E-1
8.597729600E-1,-1.979999989E-2,-6.228749827E-2,-1.643124968E-1
8.623065010E-1,-2.406249940E-2,-4.839999974E-2,-1.622499973E-1
8.648402680E-1,-2.832499892E-2,-3.987500072E-2,-1.674750000E-1
8.673738850E-1,-3.684999794E-2,-3.355000168E-2,-1.685750037E-1
