"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.988036890E-1,-4.380000114E0,7.677000523E0,-3.951000214E0
6.013375330E-1,-4.390050411E0,7.690950394E0,-3.840000153E0
6.038711500E-1,-4.303950310E0,7.690950394E0,-3.639000177E0
6.064046940E-1,-4.126950264E0,7.629000187E0,-3.547950268E0
6.089384610E-1,-4.129050255E0,7.593000412E0,-3.466950178E0
6.114720780E-1,-4.081050396E0,7.504050255E0,-3.534000158E0
6.140058460E-1,-3.976050138E0,7.489950180E0,-3.613050222E0
6.165394670E-1,-4.021049976E0,7.582950592E0,-3.510000229E0
6.190732340E-1,-3.978000164E0,7.605000496E0,-3.438000202E0
6.216068520E-1,-3.943950176E0,7.645950317E0,-3.361050129E0
6.241406190E-1,-3.886950254E0,7.678950310E0,-3.397050142E0
6.266742320E-1,-3.814950228E0,7.696050167E0,-3.439950228E0
6.292077710E-1,-3.750000238E0,7.753050327E0,-3.457050085E0
6.317416150E-1,-3.691050291E0,7.741050243E0,-3.502950191E0
6.342753840E-1,-3.657000065E0,7.768050194E0,-3.433050156E0
6.368090110E-1,-3.652050257E0,7.696050167E0,-3.484050274E0
6.393427780E-1,-3.757950068E0,7.720050335E0,-3.463950157E0
6.418763180E-1,-3.745950222E0,7.801050186E0,-3.430950165E0
6.444099320E-1,-3.757950068E0,7.819950581E0,-3.358950138E0
6.469436870E-1,-3.858000278E0,7.762950420E0,-3.409050226E0
6.494773040E-1,-3.937050104E0,7.758000374E0,-3.426000118E0
6.520110720E-1,-4.033050060E0,7.686000347E0,-3.487950087E0
6.545446890E-1,-4.117050171E0,7.618950367E0,-3.505050182E0
6.570784700E-1,-4.174050331E0,7.533000469E0,-3.630000114E0
6.596120880E-1,-4.227000237E0,7.461000443E0,-3.643950224E0
6.621458550E-1,-4.159950256E0,7.380000114E0,-3.586950064E0
6.646794720E-1,-4.135950089E0,7.369950294E0,-3.649050236E0
6.672132630E-1,-4.098000050E0,7.368000507E0,-3.721050262E0
6.697468810E-1,-4.085999966E0,7.389000416E0,-3.904950142E0
6.722804190E-1,-4.085999966E0,7.444050312E0,-4.057950020E0
6.748141870E-1,-4.102950096E0,7.380000114E0,-3.900000095E0
6.773480330E-1,-4.014000416E0,7.348950386E0,-3.685050249E0
6.798815730E-1,-3.994950294E0,7.416000366E0,-3.642000198E0
6.824151890E-1,-4.035000324E0,7.471050262E0,-3.543000221E0
6.849489560E-1,-4.038000107E0,7.522950172E0,-3.555000067E0
6.874825630E-1,-4.111950397E0,7.621950150E0,-3.571950197E0
6.900163300E-1,-4.078950405E0,7.744050503E0,-3.613050222E0
6.925499480E-1,-4.090950012E0,7.873050213E0,-3.615000248E0
6.950837150E-1,-4.174050331E0,7.975950241E0,-3.631950140E0
6.976173080E-1,-4.194000244E0,8.046000481E0,-3.567000151E0
7.001510760E-1,-4.042950153E0,8.095950127E0,-3.490950108E0
7.026846930E-1,-3.952050209E0,8.146050453E0,-3.622050285E0
7.052182320E-1,-3.853050232E0,8.104949951E0,-3.699000120E0
7.077520860E-1,-3.762000084E0,8.047950745E0,-3.663000107E0
7.102856260E-1,-3.693000078E0,8.067000389E0,-3.567000151E0
7.128194700E-1,-3.705000162E0,7.978950500E0,-3.498000145E0
7.153530110E-1,-3.856050253E0,8.175000191E0,-3.370950222E0
7.178867540E-1,-3.718950272E0,8.268000603E0,-3.342000246E0
7.204203710E-1,-3.190050125E0,8.362050056E0,-3.193950176E0
7.229541390E-1,-2.902950048E0,8.278050423E0,-4.648050308E0
7.254877560E-1,-3.448950052E0,8.187000275E0,-4.686000347E0
7.280215470E-1,-4.546050072E0,8.398050308E0,-3.634050131E0
7.305551650E-1,-4.993050098E0,8.437950134E0,-3.555000067E0
7.330889320E-1,-4.207950115E0,8.146050453E0,-4.357950211E0
7.356225490E-1,-3.658950090E0,7.837050438E0,-4.602000237E0
7.381563460E-1,-3.781950235E0,7.648050308E0,-4.225950241E0
7.406899630E-1,-4.093050003E0,7.507050514E0,-4.075050354E0
7.432237300E-1,-4.467000008E0,7.489950180E0,-4.116000175E0
7.457572710E-1,-4.703999996E0,7.638000488E0,-4.153950214E0
7.482908160E-1,-4.680000305E0,7.852050304E0,-4.012950420E0
7.508245850E-1,-4.564949989E0,7.987950325E0,-3.864000082E0
7.533582030E-1,-4.431000233E0,8.071949959E0,-3.763950109E0
7.558919700E-1,-4.288949966E0,8.098050117E0,-3.724950075E0
7.584255730E-1,-4.087950230E0,8.017050743E0,-3.711000204E0
7.609593410E-1,-3.928050280E0,7.950000286E0,-3.603000164E0
7.634929580E-1,-3.789000273E0,7.897050381E0,-3.507000208E0
7.660267250E-1,-3.813000202E0,7.876050472E0,-3.498000145E0
7.685603330E-1,-3.901050091E0,7.947000504E0,-3.498000145E0
7.710941000E-1,-3.973050117E0,7.987950325E0,-3.543000221E0
7.736277170E-1,-4.078950405E0,7.974000454E0,-3.591000080E0
7.761614840E-1,-4.135950089E0,7.957050323E0,-3.555000067E0
7.786950250E-1,-4.147950172E0,7.918950558E0,-3.558000088E0
7.812286380E-1,-4.150050163E0,7.810950279E0,-3.466950178E0
7.837624070E-1,-4.213050365E0,7.717050552E0,-3.412050247E0
7.862962540E-1,-4.246050358E0,7.665000439E0,-3.381000042E0
7.888297940E-1,-4.311000347E0,7.617000580E0,-3.370950222E0
7.913634100E-1,-4.282050133E0,7.603050232E0,-3.418950081E0
7.938971770E-1,-4.246050358E0,7.546950340E0,-3.522000074E0
7.964307940E-1,-4.251000404E0,7.533000469E0,-3.598050117E0
7.989645420E-1,-4.246050358E0,7.531050205E0,-3.607950211E0
8.014981600E-1,-4.251000404E0,7.567050457E0,-3.558000088E0
8.040319270E-1,-4.309050083E0,7.618950367E0,-3.486000061E0
8.065655440E-1,-4.363950253E0,7.570950508E0,-3.430950165E0
8.090993310E-1,-4.359000206E0,7.543050289E0,-3.373050213E0
8.116329480E-1,-4.435050011E0,7.437000275E0,-3.442950249E0
8.141664860E-1,-4.552950382E0,7.465950489E0,-3.570000172E0
8.167003310E-1,-4.612950325E0,7.540050507E0,-3.673050165E0
8.192340950E-1,-4.558050156E0,7.546950340E0,-3.610050201E0
8.217676350E-1,-4.558050156E0,7.606950283E0,-3.475950241E0
