"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.968980720E-1,-9.459999949E-2,-2.089999989E-2,7.521250099E-2
5.994316130E-1,-9.886249900E-2,-2.089999989E-2,6.998749822E-2
6.019653890E-1,-1.009249985E-1,-2.296249941E-2,6.572499871E-2
6.044990060E-1,-1.029874980E-1,-2.516249940E-2,5.816249922E-2
6.070325450E-1,-9.982500225E-2,-2.722499892E-2,4.757500067E-2
6.095663120E-1,-9.776250273E-2,-3.368749842E-2,4.551250115E-2
6.120998480E-1,-9.350000322E-2,-3.684999794E-2,3.904999793E-2
6.146336930E-1,-9.239999950E-2,-4.647500068E-2,3.368749842E-2
6.171672330E-1,-8.813749999E-2,-5.169999972E-2,2.942499891E-2
6.197008480E-1,-8.181250095E-2,-5.816249922E-2,2.516249940E-2
6.222343870E-1,-7.755000144E-2,-6.558749825E-2,2.419999987E-2
6.247681540E-1,-7.535000145E-2,-7.095000148E-2,1.883750036E-2
6.273017720E-1,-7.218749821E-2,-7.617499679E-2,1.773750037E-2
6.298353100E-1,-7.218749821E-2,-7.933750004E-2,1.773750037E-2
6.323690580E-1,-6.682500243E-2,-8.470000327E-2,1.677500084E-2
6.349025990E-1,-6.256250292E-2,-8.689999580E-2,1.677500084E-2
6.374362120E-1,-6.159999967E-2,-8.579999954E-2,2.103750035E-2
6.399697530E-1,-5.939999968E-2,-8.470000327E-2,2.419999987E-2
6.425035150E-1,-5.513750017E-2,-8.263749629E-2,2.626249939E-2
6.450371320E-1,-5.197500065E-2,-7.727500051E-2,3.368749842E-2
6.475708990E-1,-5.197500065E-2,-6.668750197E-2,3.698749840E-2
6.501044400E-1,-5.403750017E-2,-5.073750019E-2,4.647500068E-2
6.526380390E-1,-5.623750016E-2,-3.148749843E-2,5.293750018E-2
6.551718090E-1,-5.939999968E-2,-1.127499994E-2,5.816249922E-2
6.577053490E-1,-6.682500243E-2,5.774999969E-3,6.572499871E-2
6.602389620E-1,-7.424999774E-2,1.952499896E-2,6.998749822E-2
6.627725170E-1,-8.071249723E-2,2.282499894E-2,7.095000148E-2
6.653062840E-1,-9.886249900E-2,2.282499894E-2,7.095000148E-2
6.678398250E-1,-1.168750003E-1,1.952499896E-2,6.998749822E-2
6.703736690E-1,-1.307625026E-1,1.319999993E-2,7.095000148E-2
6.729071940E-1,-1.435499936E-1,5.774999969E-3,6.668750197E-2
6.754408100E-1,-1.498750001E-1,8.937500417E-3,6.242499873E-2
6.779743480E-1,-1.530375034E-1,1.429999992E-2,5.719999969E-2
6.805081150E-1,-1.467124969E-1,1.952499896E-2,5.719999969E-2
6.830417370E-1,-1.413500011E-1,2.488750033E-2,5.183750018E-2
6.855752750E-1,-1.317249984E-1,3.341250122E-2,4.647500068E-2
6.881090420E-1,-1.157749966E-1,4.303750023E-2,4.551250115E-2
6.906426600E-1,-1.051874980E-1,5.142499879E-2,4.331250116E-2
6.931762180E-1,-9.239999950E-2,5.678749830E-2,4.441250116E-2
6.957097570E-1,-8.071249723E-2,5.995000154E-2,4.551250115E-2
6.982435240E-1,-6.586249918E-2,6.641250104E-2,4.647500068E-2
7.007771410E-1,-5.307500064E-2,6.957499683E-2,4.867500067E-2
7.033109040E-1,-4.028749838E-2,7.067500055E-2,4.647500068E-2
7.058444440E-1,-2.749999985E-2,7.067500055E-2,4.551250115E-2
7.083780570E-1,-1.581249945E-2,7.273750007E-2,4.757500067E-2
7.109118270E-1,-4.124999978E-3,6.957499683E-2,5.073750019E-2
7.134453670E-1,7.562499959E-3,6.324999779E-2,4.867500067E-2
7.159789810E-1,1.938750036E-2,5.788749829E-2,4.551250115E-2
7.185125210E-1,3.203750029E-2,5.568749830E-2,4.647500068E-2
7.210462880E-1,4.702499881E-2,5.046249926E-2,4.757500067E-2
7.235798960E-1,5.444999784E-2,4.193750024E-2,5.073750019E-2
7.261136630E-1,6.091250107E-2,3.547500074E-2,4.647500068E-2
7.286472030E-1,6.503749639E-2,3.231250122E-2,4.867500067E-2
7.311808170E-1,7.259999961E-2,3.231250122E-2,5.609999970E-2
7.337143470E-1,7.466249913E-2,3.657500073E-2,6.242499873E-2
7.362481140E-1,7.782500237E-2,3.657500073E-2,6.668750197E-2
7.387817320E-1,8.002500236E-2,3.973750025E-2,6.668750197E-2
7.413152700E-1,8.112499863E-2,4.193750024E-2,6.998749822E-2
7.438490580E-1,8.112499863E-2,4.399999976E-2,6.998749822E-2
7.463825980E-1,8.635000139E-2,4.509999976E-2,6.668750197E-2
7.489162110E-1,9.061250091E-2,4.826249927E-2,7.095000148E-2
7.514499810E-1,9.487500042E-2,4.729999974E-2,7.095000148E-2
7.539835210E-1,1.033999994E-1,4.399999976E-2,6.668750197E-2
7.565171340E-1,1.044999957E-1,3.877500072E-2,6.146249920E-2
7.590506750E-1,1.055999994E-1,3.024999984E-2,5.816249922E-2
7.615844420E-1,1.119249985E-1,2.062499896E-2,5.073750019E-2
7.641180450E-1,1.150875017E-1,1.003750041E-2,4.537500069E-2
7.666518120E-1,1.193500012E-1,4.674999975E-3,4.015000165E-2
7.691853520E-1,1.236125007E-1,-6.874999963E-4,3.272499889E-2
7.717189660E-1,1.300749928E-1,-2.749999985E-3,2.846249938E-2
7.742525110E-1,1.384624988E-1,-1.017499994E-2,2.736249939E-2
7.767862780E-1,1.427250057E-1,-9.212499484E-3,2.419999987E-2
7.793198960E-1,1.469874978E-1,-8.112499490E-3,1.773750037E-2
7.818534340E-1,1.545500010E-1,-1.347499993E-2,1.677500084E-2
7.843871860E-1,1.619749963E-1,-1.443750039E-2,1.677500084E-2
7.869208040E-1,1.671999991E-1,-1.237499993E-2,1.773750037E-2
7.894543420E-1,1.747625023E-1,-1.663750038E-2,1.773750037E-2
7.919881100E-1,1.832875013E-1,-1.663750038E-2,1.677500084E-2
7.945217460E-1,1.907124966E-1,-1.869999990E-2,1.883750036E-2
7.970552840E-1,1.981374919E-1,-2.199999988E-2,1.993750036E-2
7.995890520E-1,2.077624947E-1,-2.612499893E-2,2.199999988E-2
8.021225920E-1,2.140875012E-1,-2.942499891E-2,2.309999987E-2
8.046561960E-1,2.215124965E-1,-3.038750030E-2,2.626249939E-2
8.071899660E-1,2.311374992E-1,-3.795000166E-2,3.162499890E-2
8.097235830E-1,2.439250052E-1,-6.132499874E-2,3.588749841E-2
8.122571220E-1,2.534124851E-1,-8.470000327E-2,4.221250117E-2
8.147908740E-1,2.459875047E-1,-7.191249728E-2,4.867500067E-2
8.173244140E-1,2.374625057E-1,-6.668750197E-2,4.867500067E-2
8.198580280E-1,2.439250052E-1,-8.579999954E-2,4.331250116E-2
8.223917970E-1,2.513499856E-1,-9.542500228E-2,4.331250116E-2
8.249253370E-1,2.545124888E-1,-9.116250277E-2,4.537500069E-2
8.274589320E-1,2.534124851E-1,-9.748750180E-2,5.183750018E-2
8.299924720E-1,2.556124926E-1,-1.049124971E-1,5.609999970E-2
8.325262390E-1,2.439250052E-1,-1.113749966E-1,6.146249920E-2
8.350598570E-1,2.257750034E-1,-1.208624989E-1,6.462500244E-2
8.375936290E-1,2.129874974E-1,-1.304875016E-1,6.462500244E-2
8.401271700E-1,2.055625021E-1,-1.401125044E-1,6.462500244E-2
8.426607830E-1,1.927749962E-1,-1.432749927E-1,6.888750196E-2
8.451943230E-1,1.810874939E-1,-1.379124969E-1,7.315000147E-2
8.477280910E-1,1.630750000E-1,-1.347499937E-1,7.741250098E-2
8.502617080E-1,1.469874978E-1,-1.358499974E-1,8.057499677E-2
8.527952470E-1,1.300749928E-1,-1.325500011E-1,8.910000324E-2
8.553290140E-1,1.119249985E-1,-1.273249984E-1,9.336250275E-2
8.578625350E-1,8.951249719E-2,-1.199000031E-1,9.652499855E-2
8.603963790E-1,7.039999962E-2,-1.113749966E-1,1.028499976E-1
8.629299200E-1,5.018749833E-2,-1.091749966E-1,1.071124971E-1
8.654634580E-1,3.423750028E-2,-9.968750179E-2,1.124750003E-1
8.679970720E-1,2.364999987E-2,-9.006249905E-2,1.220999956E-1
8.705308410E-1,7.699999958E-3,-7.521250099E-2,1.295250058E-1
8.730644580E-1,-7.287499961E-3,-5.389999971E-2,1.369500011E-1
8.755979970E-1,-2.529999986E-2,-3.258749843E-2,1.465750039E-1
8.781317830E-1,-3.808749840E-2,-1.127499994E-2,1.582625061E-1
8.806653240E-1,-5.307500064E-2,6.737499963E-3,1.699499935E-1
8.831989370E-1,-6.902500242E-2,2.488750033E-2,1.816374958E-1
8.857324770E-1,-8.703749627E-2,4.509999976E-2,1.955250055E-1
8.882662450E-1,-1.040875018E-1,6.641250104E-2,2.061125040E-1
8.907998620E-1,-1.254000068E-1,8.978749812E-2,2.157374918E-1
8.933336290E-1,-1.456124932E-1,1.227874979E-1,2.231625021E-1
8.958671700E-1,-1.595000029E-1,1.526249945E-1,2.305874974E-1
8.984007880E-1,-1.626625061E-1,1.782000065E-1,2.413125038E-1
9.009345570E-1,-1.721500009E-1,1.663749963E-1,2.667500079E-1
9.034680980E-1,-1.849374920E-1,1.344749928E-1,2.987875044E-1
9.060017110E-1,-1.966249943E-1,1.046374962E-1,3.199625015E-1
9.085352510E-1,-2.073500007E-1,8.016250283E-2,3.264249861E-1
9.110690180E-1,-2.158749998E-1,6.421250105E-2,3.125374913E-1
9.136026350E-1,-2.179374993E-1,5.678749830E-2,2.945249975E-1
9.161361740E-1,-2.222000062E-1,4.303750023E-2,2.763749957E-1
9.186699130E-1,-2.201374918E-1,2.378750034E-2,2.678500116E-1
9.212034530E-1,-2.212374955E-1,1.003750041E-2,2.624875009E-1
9.237370670E-1,-2.253624946E-1,3.121249937E-2,2.572624981E-1
9.262708360E-1,-2.275625020E-1,6.957499683E-2,2.498375028E-1
9.288044530E-1,-2.222000062E-1,8.552499861E-2,2.487374991E-1
9.313379920E-1,-2.275625020E-1,1.249874979E-1,2.487374991E-1
9.338717590E-1,-2.574000061E-1,1.504250020E-1,2.498375028E-1
9.364053000E-1,-2.605625093E-1,1.494625062E-1,2.444749922E-1
9.389389130E-1,-2.520374954E-1,1.451999992E-1,2.455749959E-1
9.414726820E-1,-2.574000061E-1,1.472624987E-1,2.529999912E-1
9.440063000E-1,-2.563000023E-1,1.515250057E-1,2.539624870E-1
9.465398380E-1,-2.531374991E-1,1.451999992E-1,2.487374991E-1
9.490736290E-1,-2.457125038E-1,1.344749928E-1,2.422749996E-1
9.516071700E-1,-2.349874973E-1,1.270499974E-1,2.370499969E-1
