"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.310235500E-1,-4.179000378E0,7.768050194E0,-4.171050072E0
5.335571630E-1,-4.167000294E0,7.798950195E0,-4.228050232E0
5.360907030E-1,-4.162050247E0,7.822950363E0,-4.243050098E0
5.386244710E-1,-4.098000050E0,7.828050137E0,-4.207050323E0
5.411581070E-1,-3.954000235E0,7.852050304E0,-4.156949997E0
5.436916450E-1,-3.865050077E0,7.918950558E0,-4.033950329E0
5.462254130E-1,-3.753000259E0,7.918950558E0,-3.919050217E0
5.487590300E-1,-3.664050102E0,7.878000259E0,-3.855000257E0
5.512925500E-1,-3.619050264E0,7.891950607E0,-3.778050184E0
5.538263170E-1,-3.549000263E0,7.899000168E0,-3.747000217E0
5.563599340E-1,-3.475050211E0,7.891950607E0,-3.781050205E0
5.588934730E-1,-3.420000076E0,7.885050297E0,-3.771000147E0
5.614272640E-1,-3.415050268E0,7.866000175E0,-3.760950089E0
5.639608810E-1,-3.397950172E0,7.840050220E0,-3.772950172E0
5.664944200E-1,-3.361950159E0,7.878000259E0,-3.736950159E0
5.690281870E-1,-3.373950243E0,7.891950607E0,-3.658050060E0
5.715617940E-1,-3.364950180E0,7.861050606E0,-3.661050081E0
5.740953330E-1,-3.322050095E0,7.911000252E0,-3.651000261E0
5.766291000E-1,-3.324000120E0,7.933050156E0,-3.631950140E0
5.791626410E-1,-3.327000141E0,7.933050156E0,-3.670050144E0
5.816962260E-1,-3.406050205E0,7.923000336E0,-3.670050144E0
5.842297660E-1,-3.384000063E0,7.950000286E0,-3.712950230E0
5.867636110E-1,-3.364950180E0,7.986000538E0,-3.712950230E0
5.892971510E-1,-3.397950172E0,7.990950584E0,-3.802050114E0
5.918309180E-1,-3.406050205E0,7.975950241E0,-3.855000257E0
5.943644590E-1,-3.376950264E0,7.999950409E0,-3.876000166E0
5.968980720E-1,-3.348000050E0,8.050050735E0,-3.922050238E0
5.994316130E-1,-3.331050158E0,8.019000053E0,-3.915000200E0
6.019653890E-1,-3.348000050E0,7.978950500E0,-3.847950220E0
6.044990060E-1,-3.391050100E0,7.998000145E0,-3.843000174E0
6.070325450E-1,-3.420000076E0,8.035950661E0,-3.795000076E0
6.095663120E-1,-3.418050051E0,7.987950325E0,-3.766050100E0
6.120998480E-1,-3.439050198E0,7.983000278E0,-3.796950102E0
6.146336930E-1,-3.477000237E0,8.014050484E0,-3.763950109E0
6.171672330E-1,-3.445950270E0,8.029050827E0,-3.819000244E0
6.197008480E-1,-3.477000237E0,8.034000397E0,-3.871950150E0
6.222343870E-1,-3.496950150E0,8.005050659E0,-3.900000095E0
6.247681540E-1,-3.513000250E0,8.035950661E0,-3.910050154E0
6.273017720E-1,-3.540000200E0,8.011950493E0,-3.940950155E0
6.298353100E-1,-3.633000135E0,8.047950745E0,-3.960000277E0
6.323690580E-1,-3.636000156E0,8.034000397E0,-3.972000122E0
6.349025990E-1,-3.670950174E0,8.022000313E0,-3.940950155E0
6.374362120E-1,-3.730950117E0,8.014050484E0,-3.936000109E0
6.399697530E-1,-3.793950081E0,8.035950661E0,-4.006050110E0
6.425035150E-1,-3.870000124E0,8.067000389E0,-4.033950329E0
6.450371320E-1,-3.940050125E0,8.074049950E0,-4.093950272E0
6.475708990E-1,-4.042950153E0,8.058000565E0,-4.195050240E0
6.501044400E-1,-4.098000050E0,8.034000397E0,-4.281000137E0
6.526380390E-1,-4.134000301E0,7.990950584E0,-4.333950043E0
6.551718090E-1,-4.141050339E0,7.983000278E0,-4.449000359E0
6.577053490E-1,-4.099950314E0,7.962000370E0,-4.525050163E0
6.602389620E-1,-3.979950190E0,7.902000427E0,-4.597050190E0
6.627725170E-1,-3.814950228E0,7.911000252E0,-4.695000172E0
6.653062840E-1,-3.688050270E0,7.902000427E0,-4.834050179E0
6.678398250E-1,-3.576000214E0,7.878000259E0,-4.807950020E0
6.703736690E-1,-3.541950226E0,7.921050549E0,-4.729050159E0
6.729071940E-1,-3.472950220E0,7.930950165E0,-4.603950024E0
6.754408100E-1,-3.475050211E0,7.938000202E0,-4.437000275E0
6.779743480E-1,-3.523050070E0,7.951950550E0,-4.195050240E0
6.805081150E-1,-3.616050243E0,7.950000286E0,-4.063050270E0
6.830417370E-1,-3.673950195E0,8.005050659E0,-3.940950155E0
6.855752750E-1,-3.717000246E0,8.041049957E0,-3.886050224E0
6.881090420E-1,-3.754950285E0,8.059950829E0,-3.867000103E0
6.906426600E-1,-3.772050142E0,8.023950577E0,-3.838050127E0
6.931762180E-1,-3.760050297E0,8.031000137E0,-3.852000237E0
6.957097570E-1,-3.748050213E0,8.043000221E0,-3.852000237E0
6.982435240E-1,-3.700050116E0,8.014050484E0,-3.799950123E0
7.007771410E-1,-3.649950266E0,7.962000370E0,-3.783000231E0
7.033109040E-1,-3.571050167E0,7.987950325E0,-3.700950146E0
7.058444440E-1,-3.541950226E0,7.971000195E0,-3.694050074E0
7.083780570E-1,-3.504000187E0,8.006999969E0,-3.649050236E0
7.109118270E-1,-3.469950199E0,8.023950577E0,-3.654000282E0
7.134453670E-1,-3.433950186E0,8.047950745E0,-3.679950237E0
7.159789810E-1,-3.427050114E0,8.107950211E0,-3.667950153E0
7.185125210E-1,-3.397950172E0,8.110050201E0,-3.658050060E0
7.210462880E-1,-3.430050135E0,8.137050629E0,-3.706050158E0
7.235798960E-1,-3.436950207E0,8.146050453E0,-3.703950167E0
7.261136630E-1,-3.528000116E0,8.163000107E0,-3.784950256E0
7.286472030E-1,-3.597000122E0,8.191950798E0,-3.868950129E0
7.311808170E-1,-3.667050123E0,8.218050003E0,-3.988950253E0
7.337143470E-1,-3.730950117E0,8.248950005E0,-4.056000233E0
7.362481140E-1,-3.754950285E0,8.203949928E0,-4.036950111E0
7.387817320E-1,-3.786000252E0,8.196000099E0,-4.069950104E0
7.413152700E-1,-3.742950201E0,8.194050789E0,-4.024950027E0
7.438490580E-1,-3.718950272E0,8.167950630E0,-4.009950161E0
7.463825980E-1,-3.685950279E0,8.170050621E0,-3.984000206E0
7.489162110E-1,-3.645000219E0,8.200950623E0,-3.970050097E0
7.514499810E-1,-3.585000277E0,8.161050797E0,-3.948000193E0
7.539835210E-1,-3.505950212E0,8.173049927E0,-4.012950420E0
7.565171340E-1,-3.430050135E0,8.146050453E0,-4.012950420E0
7.590506750E-1,-3.385950089E0,8.104949951E0,-4.012950420E0
7.615844420E-1,-3.412950277E0,8.065050125E0,-3.963000298E0
7.641180450E-1,-3.415050268E0,8.026050568E0,-3.924000263E0
7.666518120E-1,-3.433950186E0,7.971000195E0,-3.928950071E0
7.691853520E-1,-3.439050198E0,7.918950558E0,-3.936000109E0
7.717189660E-1,-3.477000237E0,7.873050213E0,-3.928950071E0
7.742525110E-1,-3.523050070E0,7.825050354E0,-3.919050217E0
7.767862780E-1,-3.573000193E0,7.785000324E0,-3.883950233E0
7.793198960E-1,-3.561000109E0,7.762950420E0,-3.832950115E0
7.818534340E-1,-3.637950182E0,7.738950253E0,-3.816000223E0
7.843871860E-1,-3.652050257E0,7.749000549E0,-3.832950115E0
7.869208040E-1,-3.649950266E0,7.737000465E0,-3.747000217E0
7.894543420E-1,-3.691050291E0,7.732050419E0,-3.691950083E0
7.919881100E-1,-3.709950209E0,7.770000458E0,-3.679950237E0
7.945217460E-1,-3.705000162E0,7.777050495E0,-3.649050236E0
7.970552840E-1,-3.733950138E0,7.758000374E0,-3.649050236E0
7.995890520E-1,-3.781950235E0,7.758000374E0,-3.571950197E0
8.021225920E-1,-3.796050072E0,7.785000324E0,-3.558000088E0
8.046561960E-1,-3.808050156E0,7.765050411E0,-3.535950184E0
8.071899660E-1,-3.724050283E0,7.878000259E0,-3.517050266E0
8.097235830E-1,-3.480000257E0,7.981050491E0,-3.622050285E0
8.122571220E-1,-3.339000225E0,7.981050491E0,-3.903000116E0
8.147908740E-1,-3.421950102E0,7.861050606E0,-3.706050158E0
8.173244140E-1,-3.469950199E0,7.861050606E0,-3.463950157E0
8.198580280E-1,-3.481950283E0,7.849050522E0,-3.541050196E0
8.223917970E-1,-3.523050070E0,7.842000484E0,-3.748950243E0
8.249253370E-1,-3.501000166E0,7.909050465E0,-3.795000076E0
8.274589320E-1,-3.463050127E0,7.939950466E0,-3.835950136E0
8.299924720E-1,-3.457950115E0,7.834950447E0,-3.963000298E0
8.325262390E-1,-3.424950123E0,7.806000233E0,-4.113000393E0
8.350598570E-1,-3.403050184E0,7.786950588E0,-4.117949963E0
8.375936290E-1,-3.484950066E0,7.684050560E0,-4.147050381E0
8.401271700E-1,-3.528000116E0,7.669950485E0,-4.228050232E0
8.426607830E-1,-3.625950098E0,7.681950569E0,-4.312050343E0
8.451943230E-1,-3.649950266E0,7.594950199E0,-4.330950260E0
8.477280910E-1,-3.676050186E0,7.618950367E0,-4.348050117E0
8.502617080E-1,-3.718950272E0,7.612050533E0,-4.377000332E0
8.527952470E-1,-3.709950209E0,7.618950367E0,-4.473000050E0
8.553290140E-1,-3.625950098E0,7.609950542E0,-4.570950031E0
8.578625350E-1,-3.636000156E0,7.582950592E0,-4.501049995E0
8.603963790E-1,-3.736050129E0,7.564050198E0,-4.339050293E0
8.629299200E-1,-3.762000084E0,7.485000134E0,-4.248000145E0
8.654634580E-1,-3.748050213E0,7.429950237E0,-4.260000229E0
8.679970720E-1,-3.757950068E0,7.411050320E0,-4.256999969E0
8.705308410E-1,-3.877050161E0,7.392000198E0,-4.281000137E0
8.730644580E-1,-4.012050152E0,7.393950462E0,-4.276050091E0
8.755979970E-1,-4.051949978E0,7.282050133E0,-4.240050316E0
8.781317830E-1,-4.110000134E0,7.329000473E0,-4.294950008E0
8.806653240E-1,-4.143000126E0,7.320000172E0,-4.327050209E0
8.831989370E-1,-4.111950397E0,7.320000172E0,-4.408050060E0
8.857324770E-1,-4.027950287E0,7.324950218E0,-4.462950230E0
8.882662450E-1,-3.967950106E0,7.413000584E0,-4.470000267E0
8.907998620E-1,-4.018949986E0,7.512000561E0,-4.396049976E0
8.933336290E-1,-3.988050222E0,7.564050198E0,-4.252050400E0
8.958671700E-1,-3.979950190E0,7.375050545E0,-4.033950329E0
8.984007880E-1,-3.733950138E0,7.035000324E0,-3.982050180E0
9.009345570E-1,-3.444000244E0,6.774000168E0,-4.120950222E0
9.034680980E-1,-2.979000092E0,6.771000385E0,-4.209000111E0
9.060017110E-1,-2.524050236E0,7.143000126E0,-4.096950054E0
9.085352510E-1,-2.254050016E0,7.630950451E0,-3.867000103E0
9.110690180E-1,-2.278050184E0,8.125050545E0,-3.627000093E0
9.136026350E-1,-2.407050133E0,8.476950645E0,-3.511950254E0
9.161361740E-1,-2.706000090E0,8.733000755E0,-3.493050098E0
9.186699130E-1,-3.018000126E0,8.782950401E0,-3.607950211E0
9.212034530E-1,-3.343050241E0,8.673000336E0,-3.772950172E0
9.237370670E-1,-3.636000156E0,8.592000008E0,-3.864000082E0
9.262708360E-1,-3.646950245E0,8.452950478E0,-3.979050159E0
9.288044530E-1,-3.612000227E0,8.446050644E0,-4.516050339E0
9.313379920E-1,-3.661950111E0,8.119950294E0,-4.537050247E0
9.338717590E-1,-3.693000078E0,8.005050659E0,-4.164000034E0
9.364053000E-1,-3.583050251E0,8.071949959E0,-4.165950298E0
9.389389130E-1,-3.504000187E0,8.002050400E0,-4.256999969E0
9.414726820E-1,-3.370050192E0,8.055000305E0,-4.261950016E0
9.440063000E-1,-3.190050125E0,8.127000809E0,-4.111050129E0
9.465398380E-1,-3.007950068E0,8.248950005E0,-3.988950253E0
9.490736290E-1,-2.850000143E0,8.371050835E0,-3.915000200E0
9.516071700E-1,-2.745000124E0,8.413949966E0,-3.751950264E0
9.541407830E-1,-2.617950201E0,8.436000824E0,-3.663000107E0
9.566745520E-1,-2.545950174E0,8.587050438E0,-3.709050179E0
9.592080830E-1,-2.460000038E0,8.659049988E0,-3.823950291E0
9.617416960E-1,-2.407050133E0,8.572050095E0,-3.855000257E0
9.642752370E-1,-2.539050102E0,8.452950478E0,-3.852000237E0
9.668090040E-1,-2.617950201E0,8.320950508E0,-3.828000069E0
9.693426260E-1,-2.716050148E0,8.272950172E0,-3.922050238E0
9.718761650E-1,-2.803950071E0,8.328000069E0,-3.939000130E0
9.744099320E-1,-2.875950098E0,8.389950752E0,-3.804000139E0
9.769434730E-1,-3.037050247E0,8.410050392E0,-3.630000114E0
9.794770860E-1,-3.295050144E0,8.437950134E0,-3.670050144E0
9.820108550E-1,-3.568050146E0,8.508000374E0,-3.618000269E0
9.845444730E-1,-3.745950222E0,8.500950813E0,-3.651000261E0
9.870780110E-1,-3.937050104E0,8.367000580E0,-3.751950264E0
9.896118060E-1,-4.018949986E0,8.338050842E0,-3.972000122E0
9.921453470E-1,-4.123950005E0,8.203949928E0,-4.056000233E0
9.946789600E-1,-4.074000359E0,8.138999939E0,-4.159049988E0
9.972127290E-1,-3.966000080E0,8.170050621E0,-4.223999977E0
9.997462560E-1,-3.952050209E0,8.010000229E0,-4.147050381E0
1.002279869E0,-3.922950268E0,7.959000587E0,-4.204050064E0
1.004813410E0,-3.841050148E0,7.990950584E0,-4.293000221E0
1.007347177E0,-3.844050169E0,8.017050743E0,-4.414950371E0
1.009880794E0,-3.916050196E0,8.092950821E0,-4.558950424E0
1.012414552E0,-3.982950211E0,8.079000473E0,-4.504050255E0
1.014948092E0,-3.925050259E0,8.127000809E0,-4.705049992E0
1.017481705E0,-3.985050201E0,8.218050003E0,-4.936950207E0
1.020015246E0,-4.042950153E0,8.232000351E0,-5.227050304E0
1.022549009E0,-4.110000134E0,8.304000854E0,-5.457000256E0
1.025082627E0,-4.165050030E0,8.338050842E0,-5.661000252E0
1.027616165E0,-4.190999985E0,8.315999985E0,-5.737050056E0
1.030149932E0,-4.299000263E0,8.386050224E0,-5.737050056E0
