"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.375149580E-1,-2.817375064E-1,7.433249950E-1,-1.557874978E-1
9.400488020E-1,-2.477750033E-1,8.336625099E-1,-1.472624987E-1
9.425823430E-1,-2.487374991E-1,9.241374731E-1,-1.248499975E-1
9.451160960E-1,-2.754124999E-1,1.008287549E0,-7.809999585E-2
9.476497130E-1,-2.956250012E-1,1.049812436E0,-2.062499896E-2
9.501832520E-1,-3.201000094E-1,1.046512485E0,4.331250116E-2
9.527170190E-1,-3.297249973E-1,1.022037506E0,1.124750003E-1
9.552506410E-1,-3.339875042E-1,9.678624868E-1,1.859000027E-1
9.577844080E-1,-3.403125107E-1,8.848124743E-1,2.689499855E-1
9.603179480E-1,-3.434749842E-1,7.709624767E-1,3.508999944E-1
9.628515620E-1,-3.328875005E-1,6.133875251E-1,4.285874963E-1
9.653853170E-1,-3.126749992E-1,4.272125065E-1,4.998124838E-1
